Exact parameters, kappa, 0.01, sigma, 0.2, theta_a, 5e-06, theta_b, 0.005, Error, kappa, 0.0005352125362552, theta_a, 0.0000024752013682, theta_b, 0.2409424908761614, sigma, 0.0194768266105739
Exact parameters, kappa, 0.01, sigma, 0.2, theta_a, 5e-06, theta_b, 0.01, Error, kappa, 0.0009998999999792, theta_a, 0.0000004999999782, theta_b, 0.2332557914947311, sigma, 0.0187078980371334
Exact parameters, kappa, 0.01, sigma, 0.2, theta_a, 5e-06, theta_b, 0.02, Error, kappa, 0.0004837513351320, theta_a, 0.0000025909266429, theta_b, 0.2379318278711087, sigma, 0.0179948450644418
Exact parameters, kappa, 0.01, sigma, 0.2, theta_a, 5e-06, theta_b, 0.05, Error, kappa, 0.0006939752980647, theta_a, 0.0000021777652288, theta_b, 0.2413068832882953, sigma, 0.0149407117015233
Exact parameters, kappa, 0.01, sigma, 0.2, theta_a, 5e-06, theta_b, 0.1, Error, kappa, 0.0007921916476748, theta_a, 0.0000022045049791, theta_b, 0.2626824458520921, sigma, 0.0099933644094210
Exact parameters, kappa, 0.01, sigma, 0.2, theta_a, 5e-06, theta_b, 0.5, Error, kappa, 0.0004303243501976, theta_a, 0.0000053678001666, theta_b, 0.0137724961728449, sigma, 0.0298194697765458
Exact parameters, kappa, 0.01, sigma, 0.2, theta_a, 5e-06, theta_b, 1.0, Error, kappa, 0.0046952764352736, theta_a, 0.0000003067509299, theta_b, 0.1000000000000000, sigma, 0.0792614556490544
Exact parameters, kappa, 0.01, sigma, 0.2, theta_a, 5e-06, theta_b, 2.0, Error, kappa, 0.0003556299066234, theta_a, 0.0000206855092418, theta_b, 0.2000000000000000, sigma, 0.1809540345097308
Exact parameters, kappa, 0.01, sigma, 0.2, theta_a, 1e-05, theta_b, 0.005, Error, kappa, 0.0005788978198546, theta_a, 0.0000019353619936, theta_b, 0.2300984749600384, sigma, 0.0194766482118538
Exact parameters, kappa, 0.01, sigma, 0.2, theta_a, 1e-05, theta_b, 0.01, Error, kappa, 0.0006624067841823, theta_a, 0.0000018426367386, theta_b, 0.2326899334660478, sigma, 0.0189761634704135
Exact parameters, kappa, 0.01, sigma, 0.2, theta_a, 1e-05, theta_b, 0.02, Error, kappa, 0.0006805246443231, theta_a, 0.0000017780940966, theta_b, 0.2325041371590709, sigma, 0.0180052243678857
Exact parameters, kappa, 0.01, sigma, 0.2, theta_a, 1e-05, theta_b, 0.05, Error, kappa, 0.0009998999587078, theta_a, 0.0000009999885287, theta_b, 0.2283789700205547, sigma, 0.0149367431926272
Exact parameters, kappa, 0.01, sigma, 0.2, theta_a, 1e-05, theta_b, 0.1, Error, kappa, 0.0009998999089963, theta_a, 0.0000009917127632, theta_b, 0.2100072199150869, sigma, 0.0098519398102559
Exact parameters, kappa, 0.01, sigma, 0.2, theta_a, 1e-05, theta_b, 0.5, Error, kappa, 0.0019561641136896, theta_a, 0.0000014419977164, theta_b, 0.3647205130982861, sigma, 0.0304320944224451
Exact parameters, kappa, 0.01, sigma, 0.2, theta_a, 1e-05, theta_b, 1.0, Error, kappa, 0.0011982904052780, theta_a, 0.0000009999999894, theta_b, 0.1000000000000000, sigma, 0.0793070895087719
Exact parameters, kappa, 0.01, sigma, 0.2, theta_a, 1e-05, theta_b, 2.0, Error, kappa, 0.0165649727462471, theta_a, 0.0000009999999866, theta_b, 0.2000000000000000, sigma, 0.1802061162056105
Exact parameters, kappa, 0.01, sigma, 0.2, theta_a, 5e-05, theta_b, 0.005, Error, kappa, 0.0009998999999940, theta_a, 0.0000049999998460, theta_b, 0.2377335356347078, sigma, 0.0190430392696997
Exact parameters, kappa, 0.01, sigma, 0.2, theta_a, 5e-05, theta_b, 0.01, Error, kappa, 0.0009998999842343, theta_a, 0.0000047902184888, theta_b, 0.2362932075492564, sigma, 0.0186985114022721
Exact parameters, kappa, 0.01, sigma, 0.2, theta_a, 5e-05, theta_b, 0.02, Error, kappa, 0.0005262679743158, theta_a, 0.0000019670631710, theta_b, 0.2403850680096452, sigma, 0.0179934144367881
Exact parameters, kappa, 0.01, sigma, 0.2, theta_a, 5e-05, theta_b, 0.05, Error, kappa, 0.0009998999905163, theta_a, 0.0000049732774357, theta_b, 0.2232880435970264, sigma, 0.0149646606397916
Exact parameters, kappa, 0.01, sigma, 0.2, theta_a, 5e-05, theta_b, 0.1, Error, kappa, 0.0002277371054100, theta_a, 0.0000005073401303, theta_b, 0.2502716728670861, sigma, 0.0099301738557089
Exact parameters, kappa, 0.01, sigma, 0.2, theta_a, 5e-05, theta_b, 0.5, Error, kappa, 0.0014632853080111, theta_a, 0.0000019702945260, theta_b, 0.2328842458436596, sigma, 0.0298997527819672
Exact parameters, kappa, 0.01, sigma, 0.2, theta_a, 5e-05, theta_b, 1.0, Error, kappa, 0.0144712766042701, theta_a, 0.0000049893520384, theta_b, 0.0309986698456691, sigma, 0.0805995349185786
Exact parameters, kappa, 0.01, sigma, 0.2, theta_a, 5e-05, theta_b, 2.0, Error, kappa, 0.0041639464293288, theta_a, 0.0000038300502224, theta_b, 1.0123701856276548, sigma, 0.1796133756273452
Exact parameters, kappa, 0.01, sigma, 0.2, theta_a, 0.0001, theta_b, 0.005, Error, kappa, 0.0005359392842626, theta_a, 0.0000070010092820, theta_b, 0.2436045618723476, sigma, 0.0194750296039467
Exact parameters, kappa, 0.01, sigma, 0.2, theta_a, 0.0001, theta_b, 0.01, Error, kappa, 0.0005635374398397, theta_a, 0.0000069940054584, theta_b, 0.2338944613482047, sigma, 0.0189893044025589
Exact parameters, kappa, 0.01, sigma, 0.2, theta_a, 0.0001, theta_b, 0.02, Error, kappa, 0.0006393573897279, theta_a, 0.0000070961731819, theta_b, 0.2580701550993526, sigma, 0.0179950764351805
Exact parameters, kappa, 0.01, sigma, 0.2, theta_a, 0.0001, theta_b, 0.05, Error, kappa, 0.0009363995820686, theta_a, 0.0000074487789514, theta_b, 0.2586015166895809, sigma, 0.0149993793617036
Exact parameters, kappa, 0.01, sigma, 0.2, theta_a, 0.0001, theta_b, 0.1, Error, kappa, 0.0006254684605488, theta_a, 0.0000067298123431, theta_b, 0.2885920235942210, sigma, 0.0099675959243140
Exact parameters, kappa, 0.01, sigma, 0.2, theta_a, 0.0001, theta_b, 0.5, Error, kappa, 0.0041859838711382, theta_a, 0.0000087370907812, theta_b, 0.2353813829644635, sigma, 0.0303835670871131
Exact parameters, kappa, 0.01, sigma, 0.2, theta_a, 0.0001, theta_b, 1.0, Error, kappa, 0.0071854013032646, theta_a, 0.0000086008365662, theta_b, 0.0634114790132601, sigma, 0.0797215760736031
Exact parameters, kappa, 0.01, sigma, 0.2, theta_a, 0.0001, theta_b, 2.0, Error, kappa, 0.0078984335250463, theta_a, 0.0000086158620317, theta_b, 1.6259562314233897, sigma, 0.1819531335461759
