,kappa,theta_a,theta_b,sigma,error_kappa,error_theta_a,error_theta_b,error_sigma
0,0.01,1e-06,0.005,0.5,92.84718,3073.91911,100.00000,0.22710
1,0.01,1e-06,0.01,0.5,1140.59671,99.99996,42342.45854,0.11238
2,0.01,1e-06,0.02,0.5,753.54204,313.17581,7385.06749,0.53502
3,0.01,1e-06,0.05,0.5,298.61348,97.12932,3599.43431,0.53720
4,0.01,1e-06,0.1,0.5,757.07181,36.30317,1237.65892,0.25151
5,0.01,1e-06,0.5,0.5,509.60312,99.99923,265.57098,1.67333
6,0.01,1e-05,0.005,0.5,169.54743,100.00000,100.00000,0.44918
7,0.01,1e-05,0.01,0.5,411.55673,100.00000,100.00000,0.28776
8,0.01,1e-05,0.02,0.5,911.07737,70.32249,6817.71702,0.85757
9,0.01,1e-05,0.05,0.5,530.75884,100.00000,100.00000,0.69874
10,0.01,1e-05,0.1,0.5,99.98342,18.05726,100.00000,0.01548
11,0.01,1e-05,0.5,0.5,47.97904,99.99994,100.00000,1.37572
12,0.01,5e-05,0.005,0.5,99.98519,70.33932,31707.98965,0.15664
13,0.01,5e-05,0.01,0.5,970.35679,90.94114,19193.27849,0.69228
14,0.01,5e-05,0.02,0.5,99.98994,22.73119,100.00000,0.38062
15,0.01,5e-05,0.05,0.5,763.25002,99.33877,375.03709,0.52398
16,0.01,5e-05,0.1,0.5,1249.14168,98.53030,1129.00895,0.59623
17,0.01,5e-05,0.5,0.5,8.41881,68.11755,100.00000,0.37321
18,0.01,0.0001,0.005,0.5,528.72124,100.00000,14112.80051,0.70293
19,0.01,0.0001,0.01,0.5,579.26507,100.00000,20662.85225,0.44295
20,0.01,0.0001,0.02,0.5,2205.84120,100.00000,6174.79399,0.17764
21,0.01,0.0001,0.05,0.5,174.09324,99.99998,3456.13839,1.04104
22,0.01,0.0001,0.1,0.5,488.15615,97.17542,3.01226,0.89263
23,0.01,0.0001,0.5,0.5,235.52694,93.49410,31.07734,1.38677
24,0.01,0.0005,0.005,0.5,333.03104,100.00000,11705.74801,0.26008
25,0.01,0.0005,0.01,0.5,584.58198,99.53188,23289.53703,0.00073
26,0.01,0.0005,0.02,0.5,99.98984,97.04563,10456.27627,0.19337
27,0.01,0.0005,0.05,0.5,854.84333,99.59784,6168.05644,0.28769
28,0.01,0.0005,0.1,0.5,99.96409,30551.50992,100.00000,0.69969
