Exact parameters, kappa, 0.01, sigma, 0.2, theta_a, 5e-06, theta_b, 0.005, Error, kappa, 0.0009996490832635, theta_a, 0.0127565346011697, theta_b, 0.0005000000000000, sigma, 0.0194329864795688
Exact parameters, kappa, 0.01, sigma, 0.2, theta_a, 5e-06, theta_b, 0.01, Error, kappa, 0.0009996477669426, theta_a, 0.0128656450687569, theta_b, 0.0010000000000000, sigma, 0.0189566688841425
Exact parameters, kappa, 0.01, sigma, 0.2, theta_a, 5e-06, theta_b, 0.02, Error, kappa, 0.0009996456942358, theta_a, 0.0127898712319206, theta_b, 0.0020000000000000, sigma, 0.0179741355189684
Exact parameters, kappa, 0.01, sigma, 0.2, theta_a, 5e-06, theta_b, 0.05, Error, kappa, 0.0009996651079560, theta_a, 0.0129577530578660, theta_b, 0.0050000000000000, sigma, 0.0149863489422910
Exact parameters, kappa, 0.01, sigma, 0.2, theta_a, 5e-06, theta_b, 0.1, Error, kappa, 0.0009996584075029, theta_a, 0.0123558740463458, theta_b, 0.0100000000000000, sigma, 0.0099169817773257
Exact parameters, kappa, 0.01, sigma, 0.2, theta_a, 5e-06, theta_b, 0.5, Error, kappa, 0.0009998977776294, theta_a, 0.0000143933497258, theta_b, 0.0500000000000000, sigma, 0.0300281153285425
Exact parameters, kappa, 0.01, sigma, 0.2, theta_a, 5e-06, theta_b, 1.0, Error, kappa, 0.0009995377954754, theta_a, 0.0369370137729654, theta_b, 0.1000000000000000, sigma, 0.0804490734586108
Exact parameters, kappa, 0.01, sigma, 0.2, theta_a, 5e-06, theta_b, 2.0, Error, kappa, 0.0008483438733126, theta_a, 0.0000037242250045, theta_b, 0.2000000000000000, sigma, 0.1801118518364861
Exact parameters, kappa, 0.01, sigma, 0.2, theta_a, 1e-05, theta_b, 0.005, Error, kappa, 0.0009996479052339, theta_a, 0.0127753560827999, theta_b, 0.0005000000000000, sigma, 0.0194337416459142
Exact parameters, kappa, 0.01, sigma, 0.2, theta_a, 1e-05, theta_b, 0.01, Error, kappa, 0.0009996481544492, theta_a, 0.0125944227411358, theta_b, 0.0010000000000000, sigma, 0.0189603953479408
Exact parameters, kappa, 0.01, sigma, 0.2, theta_a, 1e-05, theta_b, 0.02, Error, kappa, 0.0009994710886955, theta_a, 0.0010715260187270, theta_b, 0.0020000000000000, sigma, 0.0180498507149515
Exact parameters, kappa, 0.01, sigma, 0.2, theta_a, 1e-05, theta_b, 0.05, Error, kappa, 0.0009998999310605, theta_a, 0.0000009932083715, theta_b, 0.0050000000000000, sigma, 0.0149890565663358
Exact parameters, kappa, 0.01, sigma, 0.2, theta_a, 1e-05, theta_b, 0.1, Error, kappa, 0.0009996910162857, theta_a, 0.0124805820940621, theta_b, 0.0100000000000000, sigma, 0.0098463920944255
Exact parameters, kappa, 0.01, sigma, 0.2, theta_a, 1e-05, theta_b, 0.5, Error, kappa, 0.0009387596518849, theta_a, 0.0000140781975921, theta_b, 0.0500000000000000, sigma, 0.0301681480995826
Exact parameters, kappa, 0.01, sigma, 0.2, theta_a, 1e-05, theta_b, 1.0, Error, kappa, 0.0009998999459598, theta_a, 0.0000170377351077, theta_b, 0.1000000000000000, sigma, 0.0803750188181141
Exact parameters, kappa, 0.01, sigma, 0.2, theta_a, 1e-05, theta_b, 2.0, Error, kappa, 0.0009996397973663, theta_a, 0.0504387884184262, theta_b, 0.2000000000000000, sigma, 0.1805870406219132
Exact parameters, kappa, 0.01, sigma, 0.2, theta_a, 5e-05, theta_b, 0.005, Error, kappa, 0.0009991543257815, theta_a, 0.0007778022702441, theta_b, 0.0005000000000000, sigma, 0.0191017048587685
Exact parameters, kappa, 0.01, sigma, 0.2, theta_a, 5e-05, theta_b, 0.01, Error, kappa, 0.0009998999999947, theta_a, 0.0000049975243228, theta_b, 0.0010000000000000, sigma, 0.0186518341196558
Exact parameters, kappa, 0.01, sigma, 0.2, theta_a, 5e-05, theta_b, 0.02, Error, kappa, 0.0009998999311379, theta_a, 0.0000048545794554, theta_b, 0.0020000000000000, sigma, 0.0177969402046949
Exact parameters, kappa, 0.01, sigma, 0.2, theta_a, 5e-05, theta_b, 0.05, Error, kappa, 0.0009996482026084, theta_a, 0.0128960875396482, theta_b, 0.0050000000000000, sigma, 0.0149683199648837
Exact parameters, kappa, 0.01, sigma, 0.2, theta_a, 5e-05, theta_b, 0.1, Error, kappa, 0.0009996643108743, theta_a, 0.0133987598125881, theta_b, 0.0100000000000000, sigma, 0.0098923836022515
Exact parameters, kappa, 0.01, sigma, 0.2, theta_a, 5e-05, theta_b, 0.5, Error, kappa, 0.0009998999909867, theta_a, 0.0000090758061929, theta_b, 0.0500000000000000, sigma, 0.0299169275335973
Exact parameters, kappa, 0.01, sigma, 0.2, theta_a, 5e-05, theta_b, 1.0, Error, kappa, 0.0009996256050381, theta_a, 0.0328144783361859, theta_b, 0.1000000000000000, sigma, 0.0809250762147235
Exact parameters, kappa, 0.01, sigma, 0.2, theta_a, 5e-05, theta_b, 2.0, Error, kappa, 0.0007242535067337, theta_a, 0.0000007733425279, theta_b, 0.7010112060532296, sigma, 0.1789509841924286
Exact parameters, kappa, 0.01, sigma, 0.2, theta_a, 0.0001, theta_b, 0.005, Error, kappa, 0.0009996483889833, theta_a, 0.0127142092265278, theta_b, 0.0005000000000000, sigma, 0.0194233196956444
Exact parameters, kappa, 0.01, sigma, 0.2, theta_a, 0.0001, theta_b, 0.01, Error, kappa, 0.0009996515988148, theta_a, 0.0125158163210181, theta_b, 0.0010000000000000, sigma, 0.0189602782497968
Exact parameters, kappa, 0.01, sigma, 0.2, theta_a, 0.0001, theta_b, 0.02, Error, kappa, 0.0009998999974101, theta_a, 0.0000099768633737, theta_b, 0.0020000000000000, sigma, 0.0178260505804568
Exact parameters, kappa, 0.01, sigma, 0.2, theta_a, 0.0001, theta_b, 0.05, Error, kappa, 0.0009998982043937, theta_a, 0.0000099628533666, theta_b, 0.0050000000000000, sigma, 0.0148774521015127
Exact parameters, kappa, 0.01, sigma, 0.2, theta_a, 0.0001, theta_b, 0.1, Error, kappa, 0.0009996328498439, theta_a, 0.0148388090245956, theta_b, 0.0100000000000000, sigma, 0.0101512426844236
Exact parameters, kappa, 0.01, sigma, 0.2, theta_a, 0.0001, theta_b, 0.5, Error, kappa, 0.0009996331358589, theta_a, 0.0137607426953156, theta_b, 0.0500000000000000, sigma, 0.0301320487500172
Exact parameters, kappa, 0.01, sigma, 0.2, theta_a, 0.0001, theta_b, 1.0, Error, kappa, 0.0009998828903023, theta_a, 0.0000075935716753, theta_b, 0.1000000000000000, sigma, 0.0803539954274517
Exact parameters, kappa, 0.01, sigma, 0.2, theta_a, 0.0001, theta_b, 2.0, Error, kappa, 0.0006260211214321, theta_a, 0.0000099999999720, theta_b, 0.2000000000000000, sigma, 0.1829330306171874
Exact parameters, kappa, 0.01, sigma, 0.2, theta_a, 0.0005, theta_b, 0.005, Error, kappa, 0.0009998999999965, theta_a, 0.0000499999986791, theta_b, 0.0005000000000000, sigma, 0.0189787750411133
Exact parameters, kappa, 0.01, sigma, 0.2, theta_a, 0.0005, theta_b, 0.01, Error, kappa, 0.0009996504281220, theta_a, 0.0130019098389285, theta_b, 0.0010000000000000, sigma, 0.0189689112056131
Exact parameters, kappa, 0.01, sigma, 0.2, theta_a, 0.0005, theta_b, 0.02, Error, kappa, 0.0009994079525024, theta_a, 0.0018179517922729, theta_b, 0.0020000000000000, sigma, 0.0179445478410629
Exact parameters, kappa, 0.01, sigma, 0.2, theta_a, 0.0005, theta_b, 0.05, Error, kappa, 0.0009996316074315, theta_a, 0.0133580537777487, theta_b, 0.0050000000000000, sigma, 0.0150162683841104
Exact parameters, kappa, 0.01, sigma, 0.2, theta_a, 0.0005, theta_b, 0.1, Error, kappa, 0.0009996810671920, theta_a, 0.0136477477674149, theta_b, 0.0100000000000000, sigma, 0.0099446514825058
Exact parameters, kappa, 0.01, sigma, 0.2, theta_a, 0.0005, theta_b, 0.5, Error, kappa, 0.0009998990167817, theta_a, 0.0000469848912730, theta_b, 0.0500000000000000, sigma, 0.0306580688284045
Exact parameters, kappa, 0.01, sigma, 0.2, theta_a, 0.0005, theta_b, 1.0, Error, kappa, 0.0009995326138024, theta_a, 0.0358063635082245, theta_b, 0.1000000000000000, sigma, 0.0812443522798502
Exact parameters, kappa, 0.01, sigma, 0.2, theta_a, 0.0005, theta_b, 2.0, Error, kappa, 0.0040078314795213, theta_a, 0.0000469022610339, theta_b, 0.2000000000000000, sigma, 0.1820466798449146
Exact parameters, kappa, 0.01, sigma, 0.2, theta_a, 0.001, theta_b, 0.005, Error, kappa, 0.0009996486818850, theta_a, 0.0127513321907970, theta_b, 0.0005000000000000, sigma, 0.0194341503315627
Exact parameters, kappa, 0.01, sigma, 0.2, theta_a, 0.001, theta_b, 0.01, Error, kappa, 0.0009996454208048, theta_a, 0.0127195386807789, theta_b, 0.0010000000000000, sigma, 0.0189662002334718
Exact parameters, kappa, 0.01, sigma, 0.2, theta_a, 0.001, theta_b, 0.02, Error, kappa, 0.0009998999999977, theta_a, 0.0000999966327827, theta_b, 0.0020000000000000, sigma, 0.0177871742625304
Exact parameters, kappa, 0.01, sigma, 0.2, theta_a, 0.001, theta_b, 0.05, Error, kappa, 0.0009996503895386, theta_a, 0.0125258079187701, theta_b, 0.0050000000000000, sigma, 0.0150195602350590
Exact parameters, kappa, 0.01, sigma, 0.2, theta_a, 0.001, theta_b, 0.1, Error, kappa, 0.0009998999604443, theta_a, 0.0000977783646173, theta_b, 0.0100000000000000, sigma, 0.0098741670345352
Exact parameters, kappa, 0.01, sigma, 0.2, theta_a, 0.001, theta_b, 0.5, Error, kappa, 0.0003543553964559, theta_a, 0.0000996234443169, theta_b, 0.0500000000000000, sigma, 0.0300439106587801
Exact parameters, kappa, 0.01, sigma, 0.2, theta_a, 0.001, theta_b, 1.0, Error, kappa, 0.0000430330216638, theta_a, 0.0000977870151723, theta_b, 0.1000000000000000, sigma, 0.0804781024207857
Exact parameters, kappa, 0.01, sigma, 0.2, theta_a, 0.001, theta_b, 2.0, Error, kappa, 0.0018850841649434, theta_a, 0.0000999999999171, theta_b, 0.2000000000000000, sigma, 0.1816056508813602
Exact parameters, kappa, 0.01, sigma, 0.2, theta_a, 0.01, theta_b, 0.005, Error, kappa, 0.0009996495574542, theta_a, 0.0117782841642514, theta_b, 0.0005000000000000, sigma, 0.0194301633449530
Exact parameters, kappa, 0.01, sigma, 0.2, theta_a, 0.01, theta_b, 0.01, Error, kappa, 0.0009998999991018, theta_a, 0.0009995876466034, theta_b, 0.0010000000000000, sigma, 0.0186662608554248
Exact parameters, kappa, 0.01, sigma, 0.2, theta_a, 0.01, theta_b, 0.02, Error, kappa, 0.0009996487605001, theta_a, 0.0116831687514228, theta_b, 0.0020000000000000, sigma, 0.0179969024263711
Exact parameters, kappa, 0.01, sigma, 0.2, theta_a, 0.01, theta_b, 0.05, Error, kappa, 0.0009998997699748, theta_a, 0.0009998675919709, theta_b, 0.0050000000000000, sigma, 0.0148855119973042
Exact parameters, kappa, 0.01, sigma, 0.2, theta_a, 0.01, theta_b, 0.1, Error, kappa, 0.0009996974897537, theta_a, 0.0110424943916688, theta_b, 0.0100000000000000, sigma, 0.0100269086754897
Exact parameters, kappa, 0.01, sigma, 0.2, theta_a, 0.01, theta_b, 0.5, Error, kappa, 0.0009998999945882, theta_a, 0.0009891208502493, theta_b, 0.0500000000000000, sigma, 0.0298502302995305
Exact parameters, kappa, 0.01, sigma, 0.2, theta_a, 0.01, theta_b, 1.0, Error, kappa, 0.0009998999156866, theta_a, 0.0009939468026240, theta_b, 0.1000000000000000, sigma, 0.0804164936941914
Exact parameters, kappa, 0.01, sigma, 0.2, theta_a, 0.01, theta_b, 2.0, Error, kappa, 0.0022329007372124, theta_a, 0.0009952630497875, theta_b, 0.2000000000000000, sigma, 0.1786862255931435
Exact parameters, kappa, 0.01, sigma, 0.2, theta_a, 0.1, theta_b, 0.005, Error, kappa, 0.0009998999997434, theta_a, 0.0099999990214741, theta_b, 0.0005000000000000, sigma, 0.0189825449237732
Exact parameters, kappa, 0.01, sigma, 0.2, theta_a, 0.1, theta_b, 0.01, Error, kappa, 0.0009996437326759, theta_a, 0.0028910276667010, theta_b, 0.0010000000000000, sigma, 0.0189781143301877
Exact parameters, kappa, 0.01, sigma, 0.2, theta_a, 0.1, theta_b, 0.02, Error, kappa, 0.0009998999997958, theta_a, 0.0099999887551527, theta_b, 0.0020000000000000, sigma, 0.0178185346540299
Exact parameters, kappa, 0.01, sigma, 0.2, theta_a, 0.1, theta_b, 0.05, Error, kappa, 0.0009996479815751, theta_a, 0.0029739298074446, theta_b, 0.0050000000000000, sigma, 0.0150029823594913
Exact parameters, kappa, 0.01, sigma, 0.2, theta_a, 0.1, theta_b, 0.1, Error, kappa, 0.0009996695499765, theta_a, 0.0008425474340562, theta_b, 0.0100000000000000, sigma, 0.0099163832724206
Exact parameters, kappa, 0.01, sigma, 0.2, theta_a, 0.1, theta_b, 0.5, Error, kappa, 0.0008366427445430, theta_a, 0.0099960487433820, theta_b, 0.0500000000000000, sigma, 0.0292406315426580
Exact parameters, kappa, 0.01, sigma, 0.2, theta_a, 0.1, theta_b, 1.0, Error, kappa, 0.0009998999936044, theta_a, 0.0099925451860220, theta_b, 0.1000000000000000, sigma, 0.0800992084189023
Exact parameters, kappa, 0.01, sigma, 0.2, theta_a, 0.1, theta_b, 2.0, Error, kappa, 0.0003991736008514, theta_a, 0.0099954528125838, theta_b, 0.2000000000000000, sigma, 0.1775398940698075
Exact parameters, kappa, 0.01, sigma, 0.5, theta_a, 5e-06, theta_b, 0.005, Error, kappa, 0.0009997455628146, theta_a, 0.0114718072935864, theta_b, 0.0005000000000000, sigma, 0.0488279157278389
Exact parameters, kappa, 0.01, sigma, 0.5, theta_a, 5e-06, theta_b, 0.01, Error, kappa, 0.0009996496858330, theta_a, 0.0319219402494442, theta_b, 0.0010000000000000, sigma, 0.0488017934112998
Exact parameters, kappa, 0.01, sigma, 0.5, theta_a, 5e-06, theta_b, 0.02, Error, kappa, 0.0009995257826743, theta_a, 0.0131863732731048, theta_b, 0.0020000000000000, sigma, 0.0481016040557560
Exact parameters, kappa, 0.01, sigma, 0.5, theta_a, 5e-06, theta_b, 0.05, Error, kappa, 0.0009996495589191, theta_a, 0.0325519831142757, theta_b, 0.0050000000000000, sigma, 0.0449040512297178
Exact parameters, kappa, 0.01, sigma, 0.5, theta_a, 5e-06, theta_b, 0.1, Error, kappa, 0.0009996538467857, theta_a, 0.0302445356707614, theta_b, 0.0100000000000000, sigma, 0.0399571687621355
Exact parameters, kappa, 0.01, sigma, 0.5, theta_a, 5e-06, theta_b, 0.5, Error, kappa, 0.0009998925291714, theta_a, 0.0000029302992495, theta_b, 0.0500000000000000, sigma, 0.0002867161763962
Exact parameters, kappa, 0.01, sigma, 0.5, theta_a, 5e-06, theta_b, 1.0, Error, kappa, 0.0009998999904034, theta_a, 0.0000271108233129, theta_b, 0.1000000000000000, sigma, 0.0499622056007018
Exact parameters, kappa, 0.01, sigma, 0.5, theta_a, 5e-06, theta_b, 2.0, Error, kappa, 0.0008295313733999, theta_a, 0.0000305259523297, theta_b, 0.2000000000000000, sigma, 0.1516884023161336
Exact parameters, kappa, 0.01, sigma, 0.5, theta_a, 1e-05, theta_b, 0.005, Error, kappa, 0.0009996475382174, theta_a, 0.0319512312866591, theta_b, 0.0005000000000000, sigma, 0.0491666543713360
Exact parameters, kappa, 0.01, sigma, 0.5, theta_a, 1e-05, theta_b, 0.01, Error, kappa, 0.0009996467904568, theta_a, 0.0319769431246870, theta_b, 0.0010000000000000, sigma, 0.0488018468031667
Exact parameters, kappa, 0.01, sigma, 0.5, theta_a, 1e-05, theta_b, 0.02, Error, kappa, 0.0009996500067677, theta_a, 0.0321056880338759, theta_b, 0.0020000000000000, sigma, 0.0478673475756795
Exact parameters, kappa, 0.01, sigma, 0.5, theta_a, 1e-05, theta_b, 0.05, Error, kappa, 0.0009996512416013, theta_a, 0.0329652915490271, theta_b, 0.0050000000000000, sigma, 0.0449489746984974
Exact parameters, kappa, 0.01, sigma, 0.5, theta_a, 1e-05, theta_b, 0.1, Error, kappa, 0.0009995284959830, theta_a, 0.0239234614937365, theta_b, 0.0100000000000000, sigma, 0.0401427227517984
